e_score,v_score
4.181273314836111282e-02,7.075193757535449546e-01
-6.345913070153542945e-02,9.517964104947854720e-01
1.557743033214786244e-01,8.282597629713723819e-01
1.157754600262171085e-01,8.114292050869014172e-01
1.555714941029304188e-01,1.239809070629899646e+00
-9.053147986313547779e-01,-3.160677533312740949e-03
6.293203017576066705e-01,8.954811580018583461e-01
1.319891382657354395e-01,9.751451707933465052e-01
-3.803671039757787198e-01,9.230973560486743779e-01
-9.302646136496793838e-01,-6.620098264606971705e-02
-1.048729800460790340e+00,2.176801697765535226e-01
2.056673125822109927e-01,1.056528200277059737e+00
-1.015928667322048229e+00,-1.854440224253240885e-02
-1.151896051840124668e+00,-2.332231978697968389e-02
-2.446602943491578419e-01,8.899432395107047533e-01
-9.223260639133682437e-01,1.791252831779950871e-01
-1.752766489283930362e-01,1.241010018103250179e+00
-1.023925314768613148e+00,-2.683855453108269229e-01
5.428060085089496389e-02,1.297182965364793494e+00
-2.045747834909646123e-02,1.125290008947493092e+00
-4.404402184016091848e-01,-1.970684810169675560e-01
-1.297354116252286804e+00,-5.386588905028891205e-02
-5.186446721398072501e-01,-2.526696417582209309e-01
-1.302824574091435039e+00,2.078737521752722639e-01
2.490730678153143529e-01,9.457192005767299792e-01
6.325114074898169347e-02,8.852623735142977068e-01
-6.946019835714156709e-01,1.707327033372796066e-01
-1.214248635036398571e+00,-3.535182452321738444e-01
9.445496724273716796e-03,8.227260533435591938e-01
-1.251663468954341107e+00,-3.982971397680297454e-02
-1.179538397053327525e+00,-1.423825991221599196e-01
-1.283470327944774558e+00,1.798309879516849646e-02
-3.157890926857706004e-01,8.671424897208747096e-01
-6.039258528337703158e-01,-1.089453369573049474e-01
-6.395599734088261434e-02,9.270194561883933204e-01
3.045488807991897362e-01,2.543871602985694480e-01
-1.075555074273609302e+00,2.374500762251804259e-02
-1.038641248510955850e-01,8.906833628752952592e-01
-7.090223282446606046e-01,-5.004645402220451664e-03
2.049888470703805921e-01,9.676812947375156293e-01
-8.603554909663801986e-01,2.101730865731941608e-02
-2.260831027622020595e-01,1.238287866588822617e+00
-4.254045573333677943e-01,-1.056639610139980812e-01
1.555559428553827950e-01,7.286082428618622098e-01
2.825506168399833859e-02,9.496976705655892914e-01
-4.187348025595166168e-01,1.323092647041945735e+00
2.071111658448858139e-01,5.704509248485636341e-01
-3.351871200740881851e-01,1.141346734885116510e+00
-1.116475181642475389e+00,-4.256807012332750606e-01
-8.597923591529823550e-01,-8.887929650005244042e-02
-9.238631572277120618e-01,2.654503160148729557e-01
-1.121742857560395379e+00,-1.057404034578063867e-01
-3.531467168879218743e-01,6.984236194323711899e-01
-2.208288470391075731e-01,1.273325557920706785e+00
-1.519291354892298163e-01,1.112156227118439977e+00
-2.805892903147429451e-01,7.436461267148193333e-01
-1.666070403655919019e-01,8.639654386542583442e-01
-5.362746259558203582e-02,1.516336167624527498e+00
1.353924535840123761e-02,9.111121902165402187e-01
-7.436806325444176302e-01,-2.930911291400897234e-01
-1.485942907792229040e+00,1.753169184969110006e-01
1.349384899286678041e-01,9.695775023134970416e-01
-9.558282206700039474e-01,1.452399183629838886e-01
7.256280816585600202e-02,9.746044609483085486e-01
-1.012084083035616366e+00,-1.359820311766337109e-01
-1.305791933747493028e+00,-1.381397246517228894e-01
-1.068390172570224950e+00,-2.445111581292027381e-01
-7.418112505281739821e-01,-8.448298586541319599e-02
-2.843386116196054414e-01,1.226878863416242638e+00
-3.432883318095601363e-03,1.185303779554615744e+00
-9.404970928526560359e-01,-6.754489205936504981e-02
-8.675174887163256826e-03,5.497214225594135861e-01
-5.982295925018092930e-01,-5.284351164479730301e-01
-3.074602496056081380e-01,8.390726508312271736e-01
-9.847564719547200474e-01,1.136465201331290642e-01
1.587621992797592640e-01,9.798266073955774758e-01
-9.573204222438661537e-01,-3.455809409439061231e-01
2.664741355151150227e-03,1.347421407249625336e+00
-1.096159137845561959e+00,2.029835067729330311e-01
-6.760815697819536618e-01,2.020697243993343217e-01
-2.519128575575824702e-01,1.357589973554423679e+00
-8.045182118686291517e-01,1.343973027288404565e-01
-2.182527215891306160e-01,1.013130191194104412e+00
-1.631380335384482322e-02,9.183388950400853679e-01
-1.105122157881324174e+00,-2.856463141154692159e-02
-6.205201495246711607e-01,3.076276879696469568e-01
-8.141279617535704394e-03,1.151837264516094583e+00
-1.573368165717605183e-01,1.011037076427545367e+00
