e_score,v_score
1.916991260771651329e-01,-1.617424376769891203e-01
3.197319129644455860e-01,5.436306068852446716e-01
1.961776477007685926e-01,-4.381544789350857450e-01
-9.648549044301725219e-01,8.469506375471670401e-01
1.754578101196231296e-02,-2.359379436446258915e-01
-3.433768955703507819e-01,9.828577800382219676e-02
3.118874613837814835e-01,-2.812744699186232530e-02
1.430469809757637378e-01,-8.014501659660955291e-02
-1.035277567609569349e+00,9.934092698758723028e-01
-1.158729182283281922e+00,1.166162428665302953e+00
-1.487616608595655698e+00,1.327641209621548191e+00
-1.141943588069824989e+00,9.168403834057752277e-01
-6.903470722700844053e-01,1.367392379106992628e+00
3.613292180667703607e-02,-7.235736470257274344e-02
-1.565155508348864410e+00,9.812617289022109723e-01
-3.009134039988774489e-01,6.716109420007482234e-02
-7.863353521129738954e-01,9.861601869045607538e-01
-2.168546867161481040e-01,-2.016577994676588548e-01
-1.006860768757396718e+00,1.268620778588282816e+00
-5.705804487307393202e-01,8.399262187654199519e-01
-1.435957699483016992e+00,1.031126114048368292e+00
-2.163649084984947124e-01,1.882033558681366070e-01
-4.148669577293134098e-02,-1.063992612722818171e-01
-1.735993035729692657e-01,-3.395479946849642716e-01
-1.404772118740667819e-01,1.618538183882828052e-01
1.856089839397053742e-01,2.416075826143247174e-01
1.600543547235241393e-01,1.688219495577060192e-01
1.216995980152992679e-01,9.166298571416105212e-02
-6.310758134115852513e-01,1.269706884241987632e+00
7.521251700222883474e-02,-3.123363356979970140e-01
-1.182963802149153754e+00,1.401214510560395254e+00
-8.746607239940652478e-01,7.741605983863020235e-01
-1.071126237202080889e+00,1.222642990886596115e+00
-8.452915381957095686e-01,1.175990972092180398e+00
-1.944551818847231432e-03,-3.017836371177891608e-01
-1.147713958611116247e-01,-4.650692096167029221e-02
6.577195881138810096e-02,-2.626964596566247478e-01
-7.229171504747646804e-01,8.796184482424513895e-01
-1.256461513023622023e-01,-2.203969998501681127e-01
-1.316312839985016137e+00,8.454936919402159523e-01
9.184828746402730337e-02,-3.762510535116356941e-02
-7.331685426766523239e-01,8.301366577206377162e-01
-6.610233241786007685e-01,9.828958613873657324e-01
-1.923864102809426102e-01,-2.706636054404499680e-03
-1.388945127996421780e+00,8.428422683622752709e-01
-1.025302759643113154e-01,9.926525702319730082e-02
-8.122990008849663157e-01,9.956132634905169310e-01
-1.135667719361035610e+00,1.373076891627629248e+00
-8.349878517233724207e-01,1.171042318550580497e+00
9.071502515167656489e-02,-4.548908539657762207e-01
2.349328518969735213e-01,-1.381385497724505473e-01
-1.081306245887602824e+00,1.183861134526869918e+00
-1.148923280336352049e+00,9.948030936778239353e-01
-8.701343585704099937e-01,9.422429898024572426e-01
-9.022532463021969429e-01,1.138483603654774301e+00
1.780551792466394390e-01,8.484695996708827015e-02
-9.737630142671165334e-01,7.814824779377096409e-01
-1.102976324218806869e+00,6.277835354995773276e-01
-1.049969477285850106e+00,9.047428603908922451e-01
-2.224451712845710860e-01,2.383960298931778743e-01
-1.146702228729615802e+00,1.242526148994171908e+00
-9.429777228677322931e-01,1.136091928492058978e+00
-1.069522963441122826e-01,-2.529744069525411906e-02
-1.216970238431744067e-01,5.291735841637475873e-02
-1.097002937122849353e+00,7.675266555348266850e-01
1.847223993213813198e-01,-1.965819181186105602e-01
-9.754597011258430150e-01,8.976446900078121072e-01
2.381245597835287275e-01,-5.501329810879002080e-01
-7.971967550392760060e-01,8.682611465896165059e-01
-5.564226828536166132e-03,-2.941524869257836766e-02
-8.894860614189610271e-01,4.336937259979805059e-01
-4.594083379534884548e-01,1.418836998480547951e-01
3.782817271314893870e-01,2.466372163604799717e-01
-1.087890728746234492e+00,9.143586628174495967e-01
1.047025068487986328e-02,5.258616571969008113e-01
6.301092649505501964e-02,2.435667773376645057e-02
-4.208060801913941773e-02,-8.042420849136738825e-02
-1.231490650949669252e+00,1.290546746373761433e+00
-4.434621729393636858e-02,-4.880834608824279885e-01
-4.097258026728595875e-02,2.876901027011995460e-01
-8.541137091481807442e-01,6.895965616686754451e-01
-1.205565944105733145e+00,1.154285018762798876e+00
1.996399044715149035e-02,1.725438726004225598e-01
2.955239449258556875e-02,-9.898552831940481481e-03
-1.436561245269483589e+00,8.237677953920259366e-01
-6.305053920388020705e-02,-3.266899620681623650e-01
1.677416354270437615e-01,8.867209471251079334e-02
-8.016975697857437605e-03,5.727701777790465965e-01
-2.502011080067905735e-01,-7.882346608393794862e-02
-1.118664857424961578e+00,8.802036936853356863e-01
-5.547637244449465932e-01,7.250932445995569298e-01
1.525180714973530492e-02,-1.017081039798403835e-01
-1.013875013991935248e+00,1.026057763962815672e+00
-1.036186341952565426e+00,7.625834223458597405e-01
3.109798169740900509e-01,1.886045542151021936e-01
-8.549012161664687470e-01,6.805694231148561313e-01
1.437433781010148681e-01,-1.176540972546068903e-01
-8.344398768928232846e-01,9.005304943847735055e-01
-3.048421703364229129e-01,-3.082576410495291297e-01
-1.352094256993022769e+00,9.326928716054589952e-01
-6.401970676393641257e-01,7.821636140968203366e-01
-6.600820859193783363e-01,8.994389421489837888e-01
-1.212562938395137291e+00,1.079304339760061238e+00
-8.625797926080406297e-01,8.687375910003162227e-01
-1.153140308628360478e+00,7.098182139943834956e-01
-4.319839881521372882e-01,1.698430534028003425e-01
1.083352547999966997e-01,-3.591182750273256286e-01
-8.719116793001248367e-02,7.753718612340100569e-02
-9.935391131810014653e-02,-3.325488742231668682e-01
-8.684074143537898749e-01,1.046184355903266860e+00
3.370125794950575848e-01,2.634980859915713181e-01
3.133235793694649218e-01,-1.338955377859007978e-01
2.710118159133130811e-01,-4.896504936359793447e-01
3.500311370945994316e-01,1.840793448304912927e-02
2.240151303509260727e-01,8.047704743005406475e-03
1.102787811563229331e-01,8.829786229457248226e-02
-1.404117966967126652e-01,1.374981911826282932e-01
-1.089129307532332058e+00,1.219297992250522933e+00
-4.672280313248336481e-02,2.420709369823302870e-01
3.301308441685441020e-02,1.270666538540473067e-01
2.331053384660738970e-01,-2.339053360652642022e-01
5.583385409412866540e-02,-1.213375365842877251e-01
1.417661098131532335e-02,-2.101236460329778677e-01
-1.123287865405461945e-02,-1.358517845506967692e-01
-5.802554027521814595e-01,5.287429755595782904e-02
-1.122571137107060135e+00,1.372685991674899908e+00
7.517718951511334624e-02,-1.031586811761261574e-01
-2.888053187206343075e-01,-2.500133411191446040e-02
-9.304034643573262375e-01,1.132621545027679089e+00
1.873576818463326688e-01,2.918571162610935580e-03
-7.430933718327977777e-01,9.317148165774080670e-01
-7.760675299754674628e-01,7.016536262259220891e-01
-1.367858824412090835e+00,1.051670441163660596e+00
-8.087451311971066703e-01,1.028126542464944615e+00
-1.012185418885531263e+00,1.208842935354124570e+00
8.299210774802470714e-02,1.426652962732067875e-01
4.045994766745866084e-02,1.045929900837339194e-01
-1.172510280930023852e+00,9.877028107652591205e-01
-3.517092016405833077e-02,-1.367559778568467645e-02
-1.036667865025696189e+00,8.190963900545195076e-01
-1.121975770021095498e+00,8.671400960852300166e-01
5.926963495708896523e-02,9.328076438828000749e-02
-3.167600097719178859e-02,4.003629531228369148e-02
1.462032689974882282e-01,1.341367379739540899e-01
-1.307872773940147670e+00,1.377575689009185034e+00
1.660723727415224643e-02,1.121824925495184117e-01
1.853657962418632510e-01,-1.329396704308731803e-01
-2.129546919448592757e-01,-3.221159832160436776e-01
-1.071628749322179885e+00,9.522484060996034838e-01
-7.662177702257513268e-01,7.755484601430542302e-01
-8.877437394758096456e-01,1.007017896086513931e+00
1.627536593597979017e-02,1.906524576269191251e-01
-1.254210173262039651e+00,1.027315661674954583e+00
-1.306107584561433665e-01,1.767962827728199460e-01
2.419099300933131858e-01,2.907372530124780474e-01
-1.333387566050554973e+00,1.449630856351544317e+00
6.583360051997890275e-03,2.556909516970896079e-01
1.701096337339001174e-01,4.430800101554463466e-02
-8.838699627579023055e-01,8.174604478368893146e-01
-1.208950311903769004e+00,9.667627615760127080e-01
-7.565564212439840341e-01,1.139577331456911313e+00
8.853414045321245096e-02,2.207034909104048370e-01
