e_score,v_score
-2.700037374970596926e-01,1.541869336119194633e+00
-3.190557951451545304e-01,2.189974655317313612e+00
-3.173347327587177635e-01,1.847189117680561710e+00
8.037176771973936207e-01,2.023850557727243871e+00
-1.806760596078523240e-01,2.413257421916666701e+00
1.383494541991923954e-02,2.566447847703930751e+00
3.697554665572962973e-01,2.095208689437379590e+00
-5.219275350500115485e-01,1.726550019828478000e+00
-2.533590233089791921e-01,1.868064252995457419e+00
-5.526461049556179450e-01,2.445460333657423657e+00
-3.630900015904654499e-01,2.004827258512416943e+00
2.580169450799716380e-01,2.389719074004763133e+00
4.755912481167062222e-01,1.390242144075992226e+00
1.041934999032734094e-01,1.751154022258539111e+00
1.713927602155321250e-01,1.857480527215971122e+00
6.064746118450768941e-01,2.029649071597058985e+00
-2.812120741868934237e-01,2.270498987021929871e+00
1.398813441896157132e-02,1.927233699104557552e+00
6.170345018857603669e-01,2.275102003822862429e+00
-2.198408588997035826e-02,2.328029743992554579e+00
1.138996580434382955e-01,2.305862482391921819e+00
5.878917530809566472e-01,1.766627874365181983e+00
-1.064132192481444389e-01,2.001664775591524670e+00
8.678459137399889556e-02,1.899643030972614222e+00
-2.069992066823936328e-01,2.300881791221872419e+00
-2.858185036570676796e-01,1.790241454651100295e+00
-1.575454363713146289e-01,2.048356726951157558e+00
1.264590893663784521e-01,1.918704531009649772e+00
4.611909144434523516e-02,2.155828435275572996e+00
-5.138818644680506753e-02,1.649475036306611964e+00
1.908696636182775908e-01,1.833210379047324867e+00
7.041134160202554282e-02,1.901353732237511807e+00
-1.690446082868211353e-01,1.774818654791594064e+00
3.781540015426754220e-02,2.256724782543258812e+00
-4.266922054814152321e-01,1.980587114715031349e+00
-3.751361979282533121e-01,2.454200466838340589e+00
-7.303675832320305483e-02,2.204502197026447341e+00
2.743760463580118825e-01,1.955813947356639604e+00
-1.950607492794249331e-01,1.498323605201596465e+00
6.834418074106382024e-01,2.148861975642787137e+00
7.491425707014870428e-02,2.342382942672475821e+00
2.201197959982483798e-01,2.006367392174035036e+00
3.004777852395143847e-02,2.320143999962569481e+00
-2.298418221842682060e-02,2.040406917702221268e+00
2.866413960034304709e-01,2.111341980540289764e+00
2.861958091724248546e-02,2.326638688160351354e+00
3.567830439356668992e-01,2.529278861925241539e+00
-5.181840570769107313e-01,1.427338391149260755e+00
1.079162110585022705e-01,1.400411944727312452e+00
-1.566116275703172689e-01,2.138422892372700002e+00
-3.760222949656795710e-01,2.260877388444174407e+00
3.023720931939787027e-02,1.939775712874781011e+00
-1.171629674827994877e-01,1.583500013730240852e+00
-4.922471506870403080e-02,2.148088463499376211e+00
3.929377455262418883e-01,2.329493939187174956e+00
-2.151608819926313643e-01,1.994172576202031477e+00
1.473321023861487722e-01,1.852091684373125879e+00
-6.561866778643326015e-01,1.942414382233056624e+00
-3.159905676881305525e-01,1.937642091706413661e+00
5.821560135391941060e-01,2.348865916287058653e+00
6.433713340513888546e-02,2.112903852248084746e+00
-1.054846500595561370e-01,1.455419076558753355e+00
-3.489960096384479571e-01,2.097343795559391655e+00
-4.881346901542402139e-01,1.625102613997940315e+00
1.257692202217224331e-01,1.897373754053171657e+00
5.163402011986148454e-02,2.014162252766140693e+00
5.829149849273727035e-01,2.590384894651375003e+00
-4.461476313369273639e-01,1.635516142673559603e+00
7.270802279752165698e-02,2.438959589092274616e+00
-2.001304904811334329e-01,2.418074824346636120e+00
-4.928334770261403874e-01,1.942634498849294733e+00
-2.751769828001890961e-01,2.306180857525402139e+00
3.263870003414882093e-01,2.278732134221918670e+00
2.778214255386798337e-01,2.461035034924355713e+00
9.610566926005971455e-02,1.861527412397731229e+00
1.820382150781485464e-01,1.980980653383998868e+00
-2.195485701846192905e-01,2.678160661814356747e+00
5.789976804893758322e-01,2.171805668720195648e+00
7.206910156732585504e-01,2.054451388047723981e+00
-1.269772366121898199e-01,1.889063164387150273e+00
7.171831145559842691e-02,2.133936647304470746e+00
2.326851829616682216e-02,2.018568251663087842e+00
3.382701094279096377e-01,1.956948421558979190e+00
1.986501061185691475e-01,1.832371711299366046e+00
3.871640225521802980e-01,1.926167776016429523e+00
4.081817889141308719e-01,2.307627288484523476e+00
-1.599091441302980809e-01,2.299867187159516213e+00
-2.226721772970214064e-01,2.104646162057871805e+00
-3.473381393353051072e-01,1.901291963018261866e+00
-1.013823303955224547e-01,2.193627429728294054e+00
-2.005431721599375550e-01,1.859259106967208197e+00
4.598415557309917800e-01,2.103225157134981593e+00
-2.241820642614386072e-01,2.091716780190304270e+00
6.583998578993759399e-01,2.227686048188002310e+00
-2.835102367313229177e-01,2.140805911777561743e+00
1.461878390303963417e-03,1.830108379279831610e+00
1.116563741654912623e-01,2.581316068469246439e+00
-1.819550866073989526e-01,1.492956854344032358e+00
-2.268521538180035685e-02,2.404473139970809026e+00
3.320276202874922755e-01,2.407350905977315048e+00
2.285194903329099414e-01,2.092697958796436275e+00
-8.166442444748729657e-02,1.924026498480620351e+00
1.648280388084318870e-01,2.049217867242097313e+00
-2.690237794709443020e-01,1.813129109590812416e+00
-2.126120885382225822e-01,1.714073653596989599e+00
1.298920987913798342e-01,1.768447144288124218e+00
2.570999258610741703e-02,1.608895953831884329e+00
-6.820185107479605213e-02,2.512527439375016769e+00
-4.135164284915116562e-01,1.742881220489965521e+00
6.854824969495904030e-02,1.700893607353867854e+00
-1.671469926678935403e-01,1.993947819250095455e+00
1.887180778975315262e-02,1.984265031830796167e+00
2.363966319829270690e-01,2.088227801006853124e+00
1.440106974470464485e-01,2.200756503082451410e+00
-1.803385375839770266e-01,1.474597451984930974e+00
1.228605561840355742e-01,1.630097992119492023e+00
-7.791332655244962435e-01,1.668613366037234869e+00
3.727292351884500254e-01,2.052099795757678091e+00
5.257010113831139114e-02,1.883366113944342501e+00
-2.799125399539673098e-01,2.567032610144340143e+00
3.008147443380533859e-01,1.828166268408432105e+00
-2.723249513023589530e-01,2.149696864003849406e+00
-3.762274728449504502e-01,1.726795657223417324e+00
-2.253272247579631293e-01,2.360925635013112700e+00
-3.746273632511155638e-01,2.044554216494962606e+00
1.557013241766170286e-01,2.234740591120596420e+00
-1.044131713831735198e-01,1.592729305828656905e+00
4.614449527139852791e-01,2.156914365843395576e+00
2.119927950334230815e-01,2.384907917094404972e+00
6.109983224666342555e-02,1.615985218441800653e+00
-7.986260573463881129e-02,1.712621538663533283e+00
1.085785761642774766e-01,1.945393343318095214e+00
-7.680444295123515230e-01,2.232123027563051920e+00
2.965028473962484368e-01,1.518960331729100943e+00
9.761328729797780213e-02,2.193708792243053818e+00
-8.441007462502184144e-02,2.218164187865917736e+00
-1.375473273037777222e-01,1.562841875029524541e+00
-2.294218842621558244e-02,2.318742046823032865e+00
7.236987232252055369e-02,2.083622866758963355e+00
4.645844215725712378e-01,1.723114896113931316e+00
-4.325987146215153067e-02,2.203725012452335541e+00
-6.532813295509556917e-02,1.928574371368053653e+00
-2.351424461490020934e-01,1.777703285028245483e+00
-2.994816332908145640e-01,2.172106543779458221e+00
2.594170048551762697e-01,2.366434595721961465e+00
-1.801935358709675639e-01,2.062105540885068589e+00
-8.885332331858548927e-02,3.018335259272288518e+00
-3.920990405967685749e-02,2.073054040085375860e+00
-3.714259987438752186e-01,1.912787352697730370e+00
2.901304439944253355e-01,2.419648657579147155e+00
-5.338709601776353564e-01,2.366088305300333428e+00
-2.037587297978459278e-01,2.157033826244922015e+00
1.046773265640488504e-01,2.010854573203141094e+00
-2.855417707384753645e-01,1.838211959237433524e+00
2.341989337777814484e-01,2.214452527100684076e+00
1.143461647505584489e-01,1.681900791920674765e+00
-1.832873084329744440e-01,1.686119612063120776e+00
-1.612588350223525258e-01,2.141278870297972592e+00
1.127162123296324148e-01,2.010235778103927284e+00
-1.583229138662967626e-03,1.772908558290491099e+00
1.064545573868197481e-01,1.632776750816379074e+00
